CustomerID,CustomerName,TotalRevenue
----------,------------,------------
18943,Kaitlyn Hall,$997.79
14745,Luke Hall,$997.22
28113,Amanda Powell,$995.99
28688,Margaret Ye,$995.99
27825,Christy Zimmerman,$995.99
14387,Brittany Hughes,$992.80
15779,Jackson Hayes,$99.97
14466,Logan Adams,$99.97
16193,Victor Rubio,$99.97
14829,Gina Vazquez,$99.97
17074,Ruben Malhotra,$99.73
17284,Gerald Martin,$99.73
14237,Kate Andersen,$99.73
14669,Erika Blanco,$99.73
13962,Dawn Li,$99.68
11466,Grant Tang,$99.66
11855,Christian Walker,$99.43
12425,Brandon White,$99.43
12051,Isaiah Scott,$99.43
12115,Chloe Richardson,$99.43
11985,Melanie Hughes,$99.43
11853,Grace Jones,$99.43
15683,Jessie Carlson,$99.43
18975,Samuel Bryant,$99.42
15759,Erin Brooks,$99.42
21254,Tonya Black,$99.42
18083,Osarumwense Agbonile,$99.42
15741,Isabella Allen,$99.42
25569,Jésus Alvarez,$99.42
18184,Leonard Chande,$99.42
22264,Stephanie Coleman,$99.42
23487,Gabriel Evans,$99.42
25621,Brandon Flores,$99.42
17486,Marissa Foster,$99.42
23494,Nicole Foster,$99.42
16355,Sam Foster,$99.42
22827,Clayton Gao,$99.42
29045,Anna Jones,$99.42
16099,Julian Jenkins,$99.42
27844,Arturo Li,$99.42
23485,Isabella Lee,$99.42
13837,Alyssa Lee,$99.42
16982,Jillian Lopez,$99.42
15745,Julian Hayes,$99.42
16018,Emma Henderson,$99.42
15894,Joanna Gutierrez,$99.42
21853,Stacy Gutierrez,$99.42
24576,Jake Hu,$99.42
15415,Rachel Gray,$99.42
15487,Jesse Ramirez,$99.42
16843,Jimmy Ramos,$99.42
14571,Rachel Richardson,$99.42
14511,Danielle Rogers,$99.42
25328,Rachel Price,$99.42
14482,Noah Perez,$99.42
15011,Amber Mitchell,$99.42
26348,Logan Moore,$99.42
22285,Meredith Moreno,$99.42
15672,Kelvin Nara,$99.42
15963,Madison Smith,$99.42
15306,Victoria Sanchez,$99.42
22144,Zachary Wang,$99.42
16013,Xavier Williams,$99.42
19373,Rebekah Suri,$99.42
27184,Donald Subram,$99.42
22127,Marcus Thompson,$99.42
14691,Derrick Torres,$99.42
13683,Sheila Torres,$99.42
24721,Mandy Zheng,$99.42
15883,Tristan Coleman,$99.39
15988,Edward Moore,$99.35
29824,Brenda Heaney,$99,904.75
30026,Scott Mitchell,$99,688.76
30100,Jessie Valerio,$99,440.32
30091,Lynn Tsoflias,$99,385.97
29818,Roger Harui,$989,184.08
18954,Dalton Young,$987.28
15291,Julia Alexander,$982.86
14877,Steven Brooks,$982.86
18942,Billy Ortega,$982.78
26335,April Pal,$98.85
26457,Sydney Moore,$98.85
26473,Anna Wood,$98.85
26515,Zoe Watson,$98.85
25957,Stephanie Washington,$98.85
26017,Derrick Alonso,$98.85
25904,Ian Collins,$98.85
21497,Patrick Cox,$98.85
19585,Kristi Fernandez,$98.85
26498,Ethan Hayes,$98.85
26071,Brittany Henderson,$98.85
17786,Kathleen Gutierrez,$98.85
18927,Arianna Cox,$98.62
13150,Lacey Yang,$98.61
11689,Ian Diaz,$98.33
11648,Kevin Scott,$98.33
11706,Blake Perez,$98.33
29443,Gabriel Phillips,$98.32
26314,Angel Murphy,$98.32
29472,Lacey Sharma,$98.32
26035,Shannon Vazquez,$98.32
26036,Haley Wright,$98.32
24843,Bryant Subram,$98.32
27396,Adrian Cook,$98.32
26775,Riley Bryant,$98.32
25317,Erick Garcia,$98.32
11544,Joel Garcia,$98.32
11594,Corey Goel,$98.32
25807,Kaitlin Lopez,$98.32
25668,Carolyn Lopez,$98.31
27620,Nicole Hughes,$98.31
26175,Jose Hughes,$98.31
27293,Kaitlyn Jackson,$98.31
27435,Alexandra Johnson,$98.31
29133,Sydney King,$98.31
20796,Claudia Guo,$98.31
23773,Jon Cai,$98.31
27109,Mandy Cai,$98.31
26803,Xavier Bennett,$98.31
26871,Justin Chen,$98.31
18330,Kellie Diaz,$98.31
26784,Walter Torres,$98.31
26783,Juan Torres,$98.31
28454,Shawna Simpson,$98.31
27528,Jade Stewart,$98.31
18719,Alberto Suarez,$98.31
20897,Mayra Sai,$98.31
22708,Anne Ruiz,$98.31
24013,Jay Ruiz,$98.31
26793,Jesse Nelson,$98.31
26732,Martin Rienstra,$98.31
24215,Lisa Xu,$98.31
23950,Roger Zhou,$98.31
23441,Rafael Zhang,$98.31
26416,Amy Zhao,$98.31
13023,Dominique Raman,$98.30
11098,Mallory Rubio,$98.30
12366,Stephanie Cox,$98.30
11973,Caroline Barnes,$98.30
15461,Alberto Gutierrez,$98.30
29906,Imtiaz Khan,$98,531.01
29491,Carla Adams,$98,273.55
29883,Barry Johnson,$98,196.57
11019,Luke Lal,$975.38
15607,Ricky Gill,$97.75
28622,Julia Cooper,$97.75
29246,Thomas Williams,$97.75
28075,Edward Jones,$97.70
16341,Lacey Raji,$97.52
12554,Barry Rodriguez,$97.21
19520,Kari Muñoz,$97.21
14857,Diane Serrano,$97.21
14679,Natasha Suarez,$97.20
11166,Ashley Martinez,$97.20
16358,Samuel Jai,$97.18
17810,Frederick Prasad,$97.17
29696,Alvaro De Matos Miranda Filho,$97,102.36
29815,Lucy Harrington,$97,031.22
11501,Brandy Chandra,$963.84
29715,Andrew Dixon,$961,675.86
18306,Margaret Lin,$96.99
14723,Andrew Smith,$96.76
11801,Aaron Sharma,$96.44
11822,Rohinton Wadia,$96.44
11840,Julian Patterson,$96.44
12062,Edward Long,$96.44
12057,Madeline Collins,$96.44
12182,Erin Torres,$96.41
18717,Cassandra Suri,$96.37
16697,Wyatt Henderson,$96.22
18883,Jonathan Garcia,$96.09
13757,Jordyn Griffin,$96.09
18755,Christopher Lewis,$96.09
14135,Clayton Xie,$96.09
18871,Ruben Rubio,$96.09
12527,José Rodriguez,$96.09
19554,Emmanuel Raman,$96.08
19946,Tamara Raje,$96.08
25207,Destiny Moore,$96.08
13262,Jaime Nara,$96.08
17852,Lindsey Shan,$96.08
14887,Lauren Wilson,$96.08
16934,Michele Vazquez,$96.08
13294,Cassidy Hughes,$96.08
26044,Gavin Hughes,$96.08
17802,Erick Arun,$96.08
16556,Angelica Butler,$96.08
29981,Kathy Marcovecchio,$96,507.66
14911,Shelby Watson,$959.11
27808,Christopher Clark,$957.27
15283,Eugene Li,$956.87
28111,Jon Zhang,$956.17
11513,Alyssa Howard,$954.66
29722,Reuben D'sa,$954,021.92
12293,Tammy Garcia,$95.87
15186,Leah Yang,$95.87
12550,Austin Diaz,$95.86
12259,Cindy Madan,$95.86
14178,Katie Raje,$95.67
12491,Alvin Huang,$95.67
24517,Brandon Harris,$95.67
24767,Lauren Jackson,$95.67
24298,Robert Yang,$95.67
22842,Michele Nara,$95.54
25811,Miguel Wright,$95.53
16117,Brad Lal,$95.53
17291,Jorge Huang,$95.33
18727,Hailey Hernandez,$95.33
17244,Kellie Dominguez,$95.33
17236,Harold Chandra,$95.33
17061,Brandi Alonso,$95.33
18720,Taylor Miller,$95.33
17057,Tasha Raji,$95.33
17239,Desiree Romero,$95.33
16601,Tabitha Rana,$95.32
14052,Jorge Ma,$95.32
11367,Calvin Nara,$95.32
12633,Shannon Suarez,$95.32
15126,Manuel Sanchez,$95.32
12776,Blake Campbell,$95.32
13127,Shane Fernandez,$95.32
14053,Tamara Huang,$95.32
14213,Autumn Guo,$95.32
19512,Marco Kapoor,$95.32
12864,Michelle Townsend,$95.30
13534,Beth Navarro,$95.30
18711,Emma Diaz,$95.26
29773,Orlando Gee,$95,924.02
29462,Clinton Hernandez,$944.58
18194,Yolanda Kumar,$94.99
18261,Stacy Ramos,$94.99
14870,Brandi Ortega,$94.97
15479,Andrea Wright,$94.97
22715,Marcus Watson,$94.46
13937,Victoria Ware,$94.46
14409,Eric Wang,$94.46
14368,Richard Thompson,$94.46
18128,Roberto Suarez,$94.46
21975,Alfredo Ruiz,$94.46
14269,Tony She,$94.46
13919,Grace Smith,$94.46
13891,Aaron Simmons,$94.46
13940,Emma Simmons,$94.46
13162,Nina Nath,$94.46
14841,Franklin Pal,$94.46
13928,Nathaniel Morris,$94.46
14114,Chloe Martin,$94.46
14151,Marie Martin,$94.46
23103,Dwayne Moreno,$94.46
14844,Blake Miller,$94.46
14002,Jacqueline Reed,$94.46
19059,George Rodriguez,$94.46
14736,Jack Roberts,$94.46
13207,Kenneth Rai,$94.46
14360,Samantha Patterson,$94.46
13322,Elizabeth Patterson,$94.46
15074,Elizabeth Perry,$94.46
14090,Jennifer Lewis,$94.46
20479,Andrew Jackson,$94.46
13991,Jack Hayes,$94.46
14257,James Carter,$94.46
12908,Tyler Clark,$94.46
14352,Melissa Butler,$94.46
13218,Melissa Bryant,$94.46
12529,Isaiah Allen,$94.46
11119,Evan James,$94.17
11293,Luke Long,$94.17
14871,Timothy Hill,$937.56
18956,Sara Howard,$937.56
14578,Jonathan Carter,$937.56
14631,Logan Flores,$937.56
15334,Sydney Williams,$937.56
11505,Jasmine Powell,$935.68
15530,Madison Johnson,$935.34
28110,Cassandra Sai,$934.07
12070,Luke Ross,$93.91
12135,Fernando Taylor,$93.91
12066,Wyatt Powell,$93.91
11846,Savannah Reed,$93.91
12063,Xavier Martinez,$93.91
11851,Jada Mitchell,$93.91
11858,Jordan Coleman,$93.91
12224,Tristan Henderson,$93.90
11562,Jarrod Gonzalez,$93.90
11430,Casey Yuan,$93.90
22192,Henry Zimmerman,$93.89
23864,Chloe Jackson,$93.89
22102,Eduardo Cox,$93.89
23067,Kelli Pal,$93.89
22108,Eduardo Powell,$93.89
17953,Latoya Raje,$93.89
20938,Carolyn Rowe,$93.89
27735,Shelby Sanders,$93.88
19066,Dylan Sharma,$93.88
13386,Samuel Patterson,$93.88
27657,Frederick Chandra,$93.88
27563,Devin Bennett,$93.88
18247,Donna Beck,$93.88
27561,Kimberly Brooks,$93.88
17323,Rafael Jai,$93.88
18290,Audrey Hernandez,$93.88
27747,Edward Henderson,$93.88
20605,Kevin Yang,$93.88
22038,Isabella Jackson,$93.87
16334,Natalie Bailey,$93.84
13753,Rebecca Nicholls,$93.84
14000,Terry Sharma,$93.84
14241,Grace Wood,$93.84
18317,Samantha Jones,$93.64
19223,Jacqueline Cook,$93.53
12303,Kristi Alvarez,$93.34
13042,Alison Pal,$93.34
22314,Brandy Patel,$93.34
28048,Samuel Powell,$93.34
27677,Marissa Powell,$93.34
17492,Amanda Price,$93.34
28917,Sandra Zhou,$93.34
